T1799_001_0001	首楞嚴經疏序大佛頂密因了義首楞嚴經者乃竺乾之洪範法苑之寶典也
T1799_001_0837	始佛問悟客塵此欲陳如明其行相意引阿難聞而開解了真見常寂身境動搖陳如剖析甚合佛心故此印可言如是也
T1799_001_0838	二放光屈指辨其靜搖二一約境開合以辨見三一引手問答
T1799_001_0839	即時如來於大眾中屈五輪指屈已復開開已又屈謂阿難言汝今何見
T1799_001_0840	阿難言我見如來百寶輪掌眾中開合問答可知二就見推窮
T1799_001_0841	佛告阿難汝見我手眾中開合為是我手有開有合為復汝見有開有合阿難言世尊
T1799_001_0842	寶手眾中開合我見如來手自開合非我見性自開自合
T1799_001_0843	此明境有開合見無開合三再審動靜佛言誰動誰靜
T1799_001_0844	阿難言佛手不住而我見性尚無有靜誰為無住佛言如是阿難
T1799_001_0845	已聞客塵搖動虛空與主常自寂焉今遇此問例知見性無動無靜
T1799_001_0846	若以動靜相形則佛手是動見性是靜若只就見體所明本不曾動今亦無靜
T1799_001_0847	此答稍符於真故佛印言如是二約身搖動以辨見
T1799_001_0848	上來明境有開合見無動靜此則約對外境以辨義則易顯
T1799_001_0849	向下只於內身自分動靜動中有不動意明境之與身俱是生滅而凡夫人執身執境不了空無常故於此造業流轉無窮本真自性迷而不識
T1799_001_0850	故圓覺經云妄認四大為自身相下經亦云諸可還者自然非汝
T1799_001_0851	又云云何汝今以動為身以動為境從始洎終念念生滅此等皆明身境無常見性常住也
T1799_001_0852	不見性常二乘所執不知無常凡夫迷倒下自雙破至文當知
T1799_001_0853	然此所明對境對身以辨見性一往麁淺若原佛意非離此見別有性常性常真體
T1799_001_0854	只就此顯以見與見緣無體可得本同空華元是妙明無生滅故下經觀河之見亦復如是
T1799_001_0855	良以諸疑未斷執情深重是故且就淺近寄明深旨至下文殊為問方顯其意學者知之文二一放光左右以辨頭
T1799_001_0856	如來於是從輪掌中飛一寶光在阿難右即時阿難迴首右盻又放一光在阿難左阿難又則迴首左盻
T1799_001_0857	佛告阿難汝頭今日何因搖動阿難言我見如來出妙寶光來我左右
T1799_001_0858	故左右觀頭自搖動稍知見體無動審問不移故言頭自搖動
T1799_001_0859	二約頭搖動以明見阿難汝盻佛光左右動頭為汝頭動
T1799_001_0860	為復見動世尊我頭自動而我見性尚無有止誰為搖動
T1799_001_0861	佛言如是阿離認見不移若無相形亦無動止故佛印可三雙結會通責其迷失二一雙結會通
T1799_001_0862	於是如來普告大眾若復眾生以搖動者名之為塵以不住者名之為客
T1799_001_0863	此結陳如悟客塵客塵動搖俱喻煩惱汝觀阿難頭自動搖見無所動
T1799_001_0864	又汝觀我手自開合見無舒卷此結阿難答身境手有開合頭自動搖身境客塵同一生滅更無二別
T1799_001_0865	應知客必有主塵處有空對佛手之見形頭動之性未甞動靜豈成去來前後會通其揆一也
T1799_001_0866	二總責迷失云何汝今以動為身以動為境從始洎終念念生滅遺失真性顛倒行事總責也
T1799_001_0867	總責凡夫二乘無常計常常計無常凡夫不了身境無常妄執實有計我我所起惑造業流轉三界受於一切身心大苦尚不知生滅豈知本如來藏
T1799_001_0868	故云以動為身念念生滅等此即責無常計常也二乘雖知一切無常而不悟知本常妙性湛然不動故云遺失真性
T1799_001_0869	既不識真亦不辨妄故云顛倒行事其猶棄海認浮漚者耳
T1799_001_0870	性心失真認物為己輪迴是中自取流轉結失也不了性一切心即是失真此斥二乘不知常也認物為己此指凡夫以動為身等也
T1799_001_0871	下文身之與心皆是真心中所現物執為自己顛倒斯甚自體不識妄取他緣如懷至寶於外求匃誰之過歟故云自取流轉
